sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.VS.A9V3.01A	0.83	0.227	0.0676	2	1.95	1.96	0.0661	0.161	0.0154	0
TCGA.VS.A9V4.01A	0.38	0.647	0.463	4	4.15	4.06	0.408	0.239	0	0.00368
TCGA.VS.A9V5.01A	0.71	0.327	0.131	2	1.92	1.94	0.105	0.221	0.0375	0.00357
TCGA.VS.AA62.01A	0.94	0.104	0.0615	2	2	2	0.0335	0.0703	0	0.0016
TCGA.WL.A834.01A	0.76	0.634	0.256	2	2.13	2.1	0.3	0.335	0.0329	0.0445
TCGA.XS.A8TJ.01A	0.44	0.474	0.687	4	4.3	4.13	0.272	0.202	0	0
TCGA.ZJ.A8QO.01A	0.62	0.301	0.303	2	1.81	1.88	0.0701	0.231	0.0743	0
TCGA.ZJ.A8QQ.01A	0.7	0.4	0.322	2	1.88	1.92	0.101	0.299	0.0505	0.071
TCGA.ZJ.A8QR.01A	0.76	0.294	0.121	2	1.97	1.98	0.135	0.159	0.00713	0.0125
TCGA.ZJ.AAX4.01A	0.84	0.388	0.364	4	3.62	3.68	0.0569	0.331	0	0
TCGA.ZJ.AAX8.01A	0.26	0.26	0.303	2	2.16	2.04	0.176	0.0839	0.00336	0
TCGA.ZJ.AAXA.01A	0.89	0.556	0.149	2	2.04	2.03	0.222	0.334	0.011	0.0275
TCGA.ZJ.AAXB.01A	0.87	0.623	0.412	6	5.58	5.64	0.173	0.45	0	0
TCGA.ZJ.AAXD.01A	0.67	0.511	0.234	4	3.71	3.81	0.116	0.395	0	0
TCGA.ZJ.AAXF.01A	0.14	0.291	0.53	2	1.93	1.99	0.0773	0.214	0.0934	0.0306
TCGA.ZJ.AAXI.01A	0.85	0.238	0.264	2	2.07	2.06	0.111	0.128	0.0085	0
TCGA.ZJ.AAXJ.01A	0.71	0.385	0.152	2	1.94	1.96	0.137	0.247	0.0275	0.00916
TCGA.ZJ.AAXN.01A	0.81	0.288	0.2	2	2.04	2.03	0.136	0.152	0.00148	0.0429
TCGA.ZJ.AAXT.01A	0.58	0.377	0.207	2	1.85	1.91	0.0922	0.285	0.0522	0.0226
TCGA.ZJ.AAXU.01A	0.54	0.299	0.27	2	2	2	0.105	0.194	0.0128	0.0532
TCGA.ZJ.AB0H.01A	0.5	0.448	0.608	4	3.83	3.92	0.125	0.323	0	0
TCGA.ZJ.AB0I.01A	0.94	0.424	0.442	4	4.19	4.18	0.242	0.182	0	0
TCGA.ZX.AA5X.01A	0.32	0.206	0.224	2	2.05	2.02	0.125	0.0809	0	0.0173
