sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.GN.A26D.06A	0.91	0.464	0.0444	2	1.79	1.81	0.0464	0.418	0.012	0
TCGA.GN.A4U4.06A	0.77	0.217	0	2	1.99	1.99	0.0993	0.117	0	0
TCGA.GN.A4U5.01A	0.51	0.125	0.0141	2	1.93	1.97	0.0141	0.111	0	0.00176
TCGA.GN.A4U7.06A	0.85	0.446	0.0219	2	1.96	1.96	0.188	0.258	0	0
TCGA.GN.A4U8.06A	0.49	0.27	0.243	2	1.99	1.99	0.113	0.157	0.0318	0.0139
TCGA.GN.A4U9.06A	0.88	0.603	0.147	2	1.99	1.99	0.169	0.434	0	0.0174
TCGA.GN.A8LK.06A	0.97	0.361	0.477	4	3.71	3.72	0.0851	0.275	0	0.058
TCGA.GN.A8LL.06A	0.93	0.628	0.192	2	1.92	1.92	0.255	0.374	0.103	0
TCGA.GN.A8LN.01A	0.92	0.513	0.286	4	3.43	3.48	0.0423	0.471	0	0
TCGA.GN.A9SD.06A	0.19	0.422	0.461	2	2.19	2.04	0.158	0.264	0.0868	0.0174
TCGA.HR.A2OG.01A	0.61	0.47	0.493	4	3.73	3.84	0.143	0.327	0	0
TCGA.HR.A2OH.01A	0.42	0.63	0.866	4	3.73	3.89	0.222	0.407	0.00394	0
TCGA.HR.A5NC.01A	0.74	0.572	0.141	2	1.73	1.8	0.139	0.433	0.0604	0.00503
TCGA.IH.A3EA.01A	0.69	0.312	0.13	2	2.03	2.02	0.166	0.146	0.0212	0.0193
TCGA.LH.A9QB.06A	0.96	0.405	0.288	2	1.91	1.91	0.156	0.249	0.117	0
TCGA.OD.A75X.06A	0.93	0.509	0.316	4	3.72	3.74	0.147	0.362	0	0
TCGA.QB.A6FS.06A	0.26	0.215	0.322	2	2.27	2.07	0.135	0.0798	0.00177	0
TCGA.QB.AA9O.06A	0.79	0.51	0.331	4	3.9	3.92	0.181	0.329	0	0
TCGA.RP.A690.06A	0.73	0.139	0.171	2	2.04	2.03	0.0951	0.0439	0	0
TCGA.RP.A693.06A	0.23	0.102	0.241	2	1.87	1.97	0.00175	0.0998	0.0245	0
TCGA.RP.A694.06A	0.65	0.35	0.0682	2	2.04	2.02	0.169	0.181	0.0179	0.00199
TCGA.RP.A695.06A	0.8	0.507	0.132	4	3.58	3.67	0.0884	0.418	0	0
TCGA.RP.A6K9.06A	0.65	0.455	0.535	4	3.78	3.86	0.117	0.337	0	0
TCGA.W3.A824.06A	0.56	0.282	0.156	2	2.12	2.07	0.182	0.1	0	0
TCGA.W3.A825.06A	0.71	0.923	0.493	2	2.71	2.5	0.676	0.247	0	0.105
TCGA.W3.A828.06A	0.66	0.25	0.176	2	1.96	1.97	0.0938	0.156	0.0259	0.00599
TCGA.W3.AA1O.06A	0.74	0.544	0.0891	2	2.39	2.29	0.377	0.167	0	0.0197
TCGA.W3.AA1Q.06A	0.56	0.22	0.479	2	2.15	2.09	0.148	0.0729	0	0
TCGA.W3.AA1R.06A	0.86	0.552	0.213	6	5.54	5.61	0.154	0.398	0	0
TCGA.W3.AA1W.06A	0.36	0.292	0.39	2	2.15	2.05	0.195	0.0974	0	0.0184
TCGA.W3.AA21.06A	0.94	0.547	0.193	4	4.38	4.36	0.271	0.275	0	0
TCGA.WE.A8JZ.06A	0.93	0.442	0.231	4	3.44	3.48	0.0594	0.382	0	0
