sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.G9.6342.01A	0.26	0.0708	0.0789	2	1.92	1.98	0.0223	0.0484	0.00372	0
TCGA.G9.6343.01A	0.59	0.0704	0	2	1.99	1.99	0.0176	0.0528	0	0
TCGA.G9.6347.01A	0.77	0.206	0	2	2	2	0.123	0.0836	0	0
TCGA.G9.6348.01A	0.3	0.0335	0.111	2	1.98	1.99	0.00372	0.0298	0.00372	0
TCGA.G9.6351.01A	0.25	0.28	0.078	2	1.96	1.99	0.159	0.121	0.0159	0
TCGA.G9.6353.01A	0.51	0.094	0.0548	2	2	2	0.0219	0.0721	0	0.00515
TCGA.G9.6354.01A	0.58	0.32	0.0482	2	1.96	1.98	0.222	0.0985	0.0154	0
TCGA.G9.6356.01A	0.18	0.0302	0.529	2	1.97	1.99	0.00178	0.0285	0.0142	0
TCGA.G9.6361.01A	0.7	0.117	0.0845	2	1.94	1.96	0.0264	0.0908	0.0099	0
TCGA.G9.6362.01A	0.87	0.11	0.107	2	2	2	0.0611	0.0493	0.0118	0
TCGA.G9.6363.01A	0.43	0.183	0.154	2	1.99	2	0.0944	0.0884	0.0281	0
TCGA.G9.6364.01A	0.55	0.11	0.0185	2	1.95	1.98	0.0406	0.069	0.00203	0
TCGA.G9.6365.01A	0.51	0.0892	0.0714	2	1.98	1.99	0.0212	0.0679	0.00637	0
TCGA.G9.6366.01A	0.62	0.237	0.156	2	2.05	2.03	0.0861	0.151	0.00879	0
TCGA.G9.6367.01A	0.63	0.111	0	2	2	2	0.0441	0.0672	0	0
TCGA.G9.6369.01A	0.85	0.152	0	2	1.94	1.95	0.0592	0.0927	0	0
TCGA.G9.6370.01A	0.9	0.171	0	2	2	2	0.0835	0.0875	0	0
TCGA.G9.6371.01A	0.25	0.182	0.198	2	1.98	1.99	0.0521	0.13	0.022	0
TCGA.G9.6373.01A	0.67	0.42	0.0813	2	2	2	0.229	0.191	0.00201	0
TCGA.G9.6377.01A	0.21	0.305	0.203	2	1.88	1.98	0.156	0.15	0.0317	0.00144
TCGA.G9.6378.01A	0.22	0.157	0.167	2	1.94	1.99	0.071	0.086	0.0168	0
TCGA.G9.6379.01A	0.26	0.072	0.132	2	1.97	1.99	0.0152	0.0568	0.00758	0
TCGA.G9.6384.01A	0.22	0.189	0.146	2	1.99	2	0.132	0.0568	0.0165	0
TCGA.G9.6385.01A	0.41	0.00189	0	2	2	2	0.00189	0	0	0
TCGA.G9.6494.01A	0.5	0.157	0.0633	2	1.95	1.98	0.0496	0.107	0	0
TCGA.G9.6496.01A	0.86	0.151	0.28	2	1.99	1.99	0.0605	0.0907	0.0363	0
TCGA.G9.6498.01A	0.61	0.0191	0.1	2	1.99	1.99	0.00956	0.00956	0.00191	0
TCGA.G9.6499.01A	0.19	0.35	0.628	2	1.88	1.98	0.0643	0.286	0.17	0.00714
TCGA.G9.7509.01A	0.17	0.0237	0.125	2	1.97	1.99	0.00148	0.0222	0.00296	0
TCGA.G9.7510.01A	0.18	0.0719	0.349	2	1.95	1.99	0.00669	0.0652	0.0217	0.00167
TCGA.G9.7521.01A	0.23	0.238	0.255	2	1.89	1.98	0.051	0.187	0.0287	0
TCGA.G9.7522.01A	0.99	0.164	0	2	2	2	0.0847	0.0792	0	0
TCGA.G9.7523.01A	0.19	0.0401	0.6	2	1.97	1.99	0	0.0401	0.024	0
TCGA.G9.7525.01A	0.67	0.169	0	2	2	2	0.0706	0.0981	0	0
TCGA.G9.A9S0.01A	0.52	0.42	0.019	2	1.92	1.96	0.192	0.228	0.006	0
TCGA.G9.A9S7.01A	0.58	0.257	0.0145	2	1.96	1.97	0.123	0.134	0.00373	0
TCGA.H9.7775.01A	0.8	0.041	0.208	2	1.96	1.97	0.00171	0.0393	0.00855	0
TCGA.H9.A6BX.01A	0.68	0.0526	0	2	2	2	0	0.0526	0	0
TCGA.H9.A6BY.01A	0.75	0.205	0.0161	2	1.98	1.99	0.096	0.109	0.00331	0
TCGA.HC.7075.01A	0.77	0.0483	0	2	1.99	2	0.026	0.0223	0	0
TCGA.HC.7078.01A	0.68	0.271	0.11	2	1.93	1.95	0.0916	0.179	0.00199	0.00797
TCGA.HC.7079.01A	0.77	0.531	0	2	1.99	1.99	0.251	0.28	0	0
TCGA.HC.7080.01A	0.92	0.107	0.391	2	1.9	1.91	0.00155	0.105	0.0419	0
TCGA.HC.7081.01A	0.5	0.116	0.0167	2	1.97	1.99	0.0543	0.062	0.00194	0
TCGA.HC.7209.01A	0.51	0.128	0.0781	2	1.95	1.98	0.0621	0.0661	0.01	0
TCGA.HC.7210.01A	0.22	0.0478	0.0357	2	1.94	1.99	0.00512	0.0427	0.00171	0
TCGA.HC.7211.01A	0.7	0.07	0.0682	2	1.93	1.95	0	0.07	0.00477	0
TCGA.HC.7212.01A	0.72	0.454	0.00803	2	1.94	1.96	0.288	0.166	0.00364	0
TCGA.HC.7213.01A	0.81	0.357	0.0791	4	3.76	3.8	0.0645	0.292	0	0
TCGA.HC.7230.01A	0.86	0.0682	0.385	2	1.94	1.95	0	0.0682	0.0262	0
TCGA.HC.7231.01A	0.68	0.283	0.00654	2	1.97	1.98	0.13	0.154	0.00185	0
TCGA.HC.7232.01A	0.53	0.131	0.0143	2	1.92	1.96	0.0393	0.0916	0.00187	0
TCGA.HC.7233.01A	0.12	0.116	0.727	2	2.01	2	0.0792	0.037	0.0475	0.0141
TCGA.HC.7737.01A	0.21	0.191	0.313	2	1.95	1.99	0.0914	0.0997	0.0415	0.00498
TCGA.HC.7738.01A	0.59	0.273	0.0333	2	1.97	1.98	0.118	0.155	0.00909	0
TCGA.HC.7740.01A	0.16	0.0673	0.512	2	1.98	2	0.0141	0.0532	0.0156	0.011
TCGA.HC.7740.01B	0.15	0.177	0.124	2	1.99	2	0.0829	0.0939	0.00939	0.00313
TCGA.HC.7742.01A	0.66	0.208	0.138	2	1.96	1.97	0.0634	0.145	0	0
TCGA.HC.7745.01A	0.19	0.272	0.255	2	2.03	2.01	0.155	0.117	0.0267	0.0089
