sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.AO.A0J3.01A	0.93	0.561	0.311	4	3.57	3.6	0.0917	0.469	0	0.0018
TCGA.AO.A0J4.01A	0.57	0.621	0.0557	2	1.86	1.92	0.17	0.451	0.00494	0.00824
TCGA.AO.A0J5.01A	0.63	0.203	0.261	2	1.92	1.95	0.0385	0.165	0.0311	0
TCGA.AO.A0J6.01A	0.62	0.612	0.261	2	1.81	1.88	0.152	0.461	0.0303	0.109
TCGA.AO.A0J7.01A	0.86	0.496	0.662	4	3.26	3.36	0.0146	0.482	0	0
TCGA.AO.A0J8.01A	0.75	0.167	0.237	2	1.97	1.98	0.0628	0.104	0.0287	0
TCGA.AO.A0J9.01A	0.43	0.633	0.681	4	4.28	4.12	0.293	0.34	0	0
TCGA.AO.A0JA.01A	0.62	0.49	0.216	2	1.76	1.85	0.146	0.344	0.102	0
TCGA.AO.A0JB.01A	0.86	0.465	0.134	2	1.79	1.82	0.0902	0.375	0.0546	0.00223
TCGA.AO.A0JC.01A	0.88	0.011	0	2	2	2	0.00368	0.00737	0	0
TCGA.AO.A0JD.01A	0.61	0.46	0.624	4	3.58	3.75	0.0957	0.364	0	0
TCGA.AO.A0JE.01A	0.43	0.44	0.139	2	1.99	2	0.162	0.277	0.00698	0.0157
TCGA.AO.A0JF.01A	0.39	0.102	0.38	2	2.02	2.01	0.0533	0.0492	0.00205	0
TCGA.AO.A0JG.01A	0.22	0.19	0.032	2	1.64	1.92	0.0121	0.178	0	0
TCGA.AO.A0JI.01A	0.79	0.304	0.268	2	1.88	1.9	0.0878	0.216	0.0776	0
TCGA.AO.A0JJ.01A	0.49	0.106	0.754	4	3.8	3.9	0.00175	0.105	0	0
TCGA.AO.A0JL.01A	0.79	0.864	0.311	4	4.99	4.78	0.581	0.283	0	0
TCGA.AO.A0JM.01A	0.72	0.726	0.505	4	3.41	3.58	0.111	0.615	0	0
TCGA.AO.A124.01A	0.87	0.838	0.476	4	3.14	3.25	0.145	0.694	0	0
TCGA.AO.A125.01A	0.5	0.305	0.28	2	2.27	2.14	0.215	0.0905	0	0
TCGA.AO.A126.01A	0.7	0.476	0.0336	2	1.85	1.9	0.058	0.418	0.012	0.004
TCGA.AO.A128.01A	0.29	0.446	0.0924	2	2.12	2.03	0.227	0.219	0.00562	0.00375
TCGA.AO.A129.01A	0.51	0.376	0.61	4	4.22	4.11	0.156	0.22	0	0
TCGA.AO.A12A.01A	0.43	0.397	0.327	4	4.03	4.01	0.13	0.267	0	0
TCGA.AO.A12B.01A	0.91	0.565	0.0977	4	3.51	3.55	0.0467	0.518	0	0
TCGA.AO.A12D.01A	0.99	0.174	0.355	4	4.11	4.11	0.0864	0.0877	0	0
TCGA.AO.A12F.01A	0.93	0.82	0.374	4	4.38	4.35	0.473	0.347	0	0.0119
TCGA.AO.A12G.01A	0.69	0.248	0.292	2	1.94	1.96	0.0677	0.181	0.0177	0
TCGA.AO.A12H.01A	0.06	0.484	0.998	2	2.02	2	0.224	0.26	0.297	0.256
TCGA.AO.A1KO.01A	0.68	0.504	0	2	1.98	1.98	0.179	0.325	0	0
TCGA.AO.A1KP.01A	0.94	0.219	0.273	2	2.01	2.01	0.104	0.114	0.0365	0
TCGA.AO.A1KR.01A	0.59	0.166	0.876	2	2.29	2.17	0.153	0.0127	0	0
TCGA.AO.A1KS.01A	0.92	0.411	0.0701	2	1.89	1.89	0.0972	0.314	0.00214	0
TCGA.AO.A1KT.01A	0.73	0.549	0.0954	2	1.9	1.93	0.188	0.361	0.0144	0.0199
TCGA.AQ.A04H.01B	0.82	0.445	0.0577	2	1.9	1.92	0.0668	0.378	0.00342	0.00342
TCGA.AQ.A04J.01A	0.41	0.446	0.368	2	1.86	1.94	0.147	0.299	0.0734	0.0541
TCGA.AQ.A0Y5.01A	0.59	0.359	0.0337	2	1.89	1.93	0.0569	0.302	0	0.00172
TCGA.AQ.A1H2.01A	0.92	0.424	0.508	4	3.71	3.73	0.148	0.276	0	0
TCGA.AQ.A1H3.01A	0.26	0.116	0.382	2	2.13	2.03	0.0579	0.0579	0.0017	0
TCGA.AQ.A54N.01A	0.92	0.923	0.259	2	2.31	2.28	0.52	0.403	0	0.0899
TCGA.AQ.A54O.01A	0.79	0.47	0.19	2	2	2	0.193	0.278	0.00303	0.0395
TCGA.AQ.A7U7.01A	0.23	0.0915	0.158	2	1.94	1.99	0.00482	0.0867	0.00963	0
TCGA.AR.A0TP.01A	0.95	0.575	0.13	2	1.91	1.92	0.231	0.344	0.0506	0.0081
TCGA.AR.A0TQ.01A	0.88	0.209	0.0473	2	2.03	2.03	0.0581	0.151	0	0
TCGA.AR.A0TR.01A	0.93	0.388	0.0663	4	3.8	3.82	0.115	0.273	0	0.00198
TCGA.AR.A0TS.01A	0.2	0.342	0.448	2	2.11	2.02	0.144	0.198	0.0454	0.0302
TCGA.AR.A0TT.01A	0.43	0.375	0.182	2	2.28	2.12	0.22	0.154	0	0.0152
TCGA.AR.A0TV.01A	0.79	0.47	0.105	2	1.83	1.87	0.103	0.367	0.0231	0.00462
TCGA.AR.A0TW.01A	0.6	0.66	0.506	4	3.63	3.78	0.169	0.491	0	0
TCGA.AR.A0TX.01A	0.24	0.189	0.205	2	2.18	2.04	0.117	0.0726	0.0169	0
TCGA.AR.A0TY.01A	0.71	0.452	0.08	2	1.74	1.82	0.114	0.337	0.0201	0
TCGA.AR.A0TZ.01A	0.88	0.365	0.433	2	1.72	1.75	0.0625	0.303	0.158	0
TCGA.AR.A0U0.01A	0.47	0.45	0.378	2	2.12	2.05	0.236	0.214	0.00183	0.119
TCGA.AR.A0U1.01A	0.27	0.286	0.519	2	2.35	2.1	0.192	0.0934	0.0201	0.00366
