sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.DV.5566.01A	0.23	0.398	0.164	2	1.82	1.96	0.187	0.211	0.0352	0
TCGA.DV.5568.01A	0.6	0.327	0	2	1.96	1.97	0.0984	0.229	0	0
TCGA.DV.5569.01A	0.6	0.204	0.0885	2	2	2	0.0722	0.132	0.00542	0
TCGA.DV.5573.01A	0.18	0.555	0.245	2	1.83	1.97	0.191	0.363	0.0537	0.00537
TCGA.DV.5574.01A	0.49	0.234	0.0178	2	2	2	0.0914	0.143	0	0.00277
TCGA.DV.5575.01A	0.5	0.496	0.0646	2	1.89	1.95	0.198	0.298	0.0321	0
TCGA.DV.5576.01A	0.62	0.0753	0	2	1.96	1.97	0.0166	0.0587	0	0
TCGA.DV.A4VX.01A	0.85	0.507	0.00838	2	1.85	1.87	0.129	0.378	0.00142	0.00283
TCGA.DV.A4VZ.01A	0.09	0.174	0.981	2	2.01	2	0.0963	0.0781	0.13	0.0166
TCGA.DV.A4W0.01A	0.14	0.292	0.492	2	1.8	1.97	0.072	0.221	0.0582	0.0352
TCGA.EU.5904.01A	0.15	0.0982	0.382	2	1.94	1.99	0.0268	0.0714	0.00893	0.0107
TCGA.EU.5905.01A	0.64	0.788	0.503	4	3.11	3.43	0.0974	0.69	0	0
TCGA.EU.5906.01A	0.25	0.0873	0.161	2	1.93	1.98	0.0169	0.0704	0	0
TCGA.EU.5907.01A	0.77	0.608	0.147	2	1.76	1.82	0.208	0.4	0.0892	0
TCGA.G6.A5PC.01A	0.53	0.417	0.0763	2	1.99	1.99	0.216	0.201	0.00707	0
TCGA.G6.A8L6.01A	0.52	0.0964	0	2	1.96	1.98	0.0309	0.0655	0	0
TCGA.G6.A8L7.01A	0.23	0.211	0.0265	2	1.53	1.89	0.00559	0.205	0.00419	0
TCGA.G6.A8L8.01A	0.81	0.444	0.155	2	1.77	1.82	0.136	0.308	0.0687	0
TCGA.GK.A6C7.01A	0.55	0.413	0.0119	2	1.91	1.95	0.0148	0.398	0.00492	0
TCGA.MM.A563.01A	0.61	0.439	0.0329	2	1.76	1.85	0.112	0.327	0.0145	0
TCGA.MM.A564.01A	0.57	0.513	0.0804	2	1.88	1.93	0.0754	0.438	0.0413	0
TCGA.MM.A84U.01A	0.53	0.0705	0.0222	2	1.97	1.98	0.0235	0.047	0.00157	0
TCGA.MW.A4EC.01A	0.63	0.239	0.131	2	1.95	1.97	0.0686	0.17	0.0109	0
TCGA.T7.A92I.01A	0.65	0.205	0.0924	2	1.94	1.96	0.0878	0.117	0.0189	0
