sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.69.7974.01A	0.35	0.367	0.436	4	4.04	4.01	0.132	0.234	0.00162	0
TCGA.69.7978.01A	0.24	0.168	0.409	2	2	2	0.087	0.0815	0.00725	0.00725
TCGA.69.7980.01A	0.68	0.75	0.45	4	3.95	3.96	0.332	0.418	0	0
TCGA.69.8253.01A	0.17	0.314	0.517	2	2	2	0.0345	0.279	0.03	0.111
TCGA.69.8254.01A	0.23	0.47	0.0402	2	1.98	1.99	0.236	0.234	0.00943	0
TCGA.69.8255.01A	0.49	0.218	0.267	2	2.13	2.06	0.157	0.0613	0	0.00598
TCGA.69.8453.01A	0.19	0.137	0.39	2	1.91	1.98	0.0184	0.119	0.0351	0.00835
TCGA.69.A59K.01A	0.56	0.627	0.523	4	3.35	3.64	0.168	0.459	0	0
TCGA.71.6725.01A	0.67	0.641	0.206	2	2.21	2.14	0.315	0.327	0.01	0.0521
TCGA.73.4658.01A	0.48	0.195	0.0274	2	1.99	2	0.0415	0.154	0	0.00535
TCGA.73.4659.01A	0.45	0.515	0.674	4	3.7	3.86	0.11	0.404	0	0
TCGA.73.4662.01A	0.59	0.463	0.209	2	2.01	2	0.18	0.282	0	0.0346
TCGA.73.4666.01A	0.53	0.756	0.427	4	3.91	3.95	0.276	0.48	0	0
TCGA.73.4668.01A	0.65	0.575	0.222	4	3.52	3.69	0.0971	0.478	0	0
TCGA.73.4670.01A	0.76	0.791	0.427	4	2.92	3.18	0.0704	0.72	0	0
TCGA.73.4675.01A	0.7	0.341	0.264	4	3.89	3.92	0.128	0.213	0	0
TCGA.73.4676.01A	0.62	0.345	0.682	2	2.41	2.25	0.324	0.0217	0	0.0376
TCGA.73.4677.01A	0.57	0.612	0.617	4	3.73	3.85	0.097	0.515	0	0
TCGA.73.7498.01A	0.57	0.307	0.228	2	1.97	1.98	0.116	0.192	0.019	0
TCGA.73.7499.01A	0.24	0.448	0.493	2	2.75	2.18	0.349	0.0982	0.0354	0
TCGA.73.A9RS.01A	0.63	0.854	0.232	2	2.47	2.29	0.536	0.318	0.0168	0.0206
TCGA.75.5122.01A	0.99	0.208	0.0177	2	2.03	2.03	0.0866	0.122	0	0
TCGA.75.5125.01A	0.22	0.307	0.425	2	2.13	2.03	0.151	0.156	0.0634	0
TCGA.75.5126.01A	0.17	0.359	0.485	2	2.07	2.01	0.153	0.205	0.0665	0.0536
TCGA.75.5146.01A	0.18	0.343	0.27	2	2.42	2.07	0.271	0.0713	0.0304	0.00117
TCGA.75.5147.01A	0.48	0.425	0.121	2	2.04	2.02	0.138	0.287	0.00184	0
TCGA.75.6203.01A	0.24	0.4	0.487	2	2.15	2.04	0.244	0.156	0.0287	0.0205
TCGA.75.6205.01A	0.17	0.322	0.453	2	1.98	2	0.102	0.22	0.0705	0.0403
TCGA.75.6206.01A	0.76	0.708	0.689	4	3.4	3.54	0.0992	0.609	0	0
TCGA.75.6207.01A	0.84	0.381	0.0683	2	1.94	1.95	0.125	0.256	0.00685	0.00274
TCGA.75.6211.01A	0.49	0.431	0.536	4	3.94	3.97	0.13	0.301	0	0
TCGA.75.6212.01A	0.11	0.74	0.879	2	3.59	2.17	0.622	0.117	0.0974	0.145
TCGA.75.6214.01A	0.74	0.756	0.231	4	4.13	4.1	0.391	0.365	0	0
TCGA.75.7025.01A	0.47	0.442	0.325	4	3.82	3.91	0.147	0.294	0	0
TCGA.75.7027.01A	0.76	0.758	0.239	4	3.67	3.75	0.257	0.501	0	0
TCGA.75.7030.01A	0.99	0.00797	0.5	2	2	2	0	0.00797	0	0.00398
TCGA.75.7031.01A	0.65	0.381	0.478	4	4.2	4.13	0.154	0.227	0	0
TCGA.78.7143.01A	0.7	0.458	0.117	2	1.99	1.99	0.172	0.285	0	0.0112
TCGA.78.7145.01A	0.85	0.444	0.0781	2	1.74	1.78	0.0194	0.425	0.0306	0
TCGA.78.7146.01A	0.71	0.661	0.113	2	1.99	1.99	0.294	0.367	0.0104	0.033
TCGA.78.7147.01A	0.72	0.401	0.0486	2	1.76	1.83	0.0406	0.36	0.00974	0
TCGA.78.7148.01A	0.67	0.0962	0.0179	2	2	2	0.0344	0.0619	0	0
TCGA.78.7149.01A	0.71	0.338	0.00485	2	1.9	1.93	0.0624	0.276	0.00164	0
TCGA.78.7150.01A	0.54	0.256	0.259	2	2.08	2.04	0.189	0.0662	0	0.0195
TCGA.78.7152.01A	0.5	0.151	0.0241	2	1.92	1.96	0.0309	0.12	0.00181	0
TCGA.78.7153.01A	0.75	0.221	0.0968	2	2.06	2.04	0.0642	0.157	0.00891	0
TCGA.78.7154.01A	0.59	0.718	0.178	2	2.1	2.06	0.353	0.365	0.00186	0.0872
TCGA.78.7155.01A	0.84	0.604	0.106	2	1.77	1.81	0.118	0.486	0.0378	0.0102
TCGA.78.7156.01A	0.79	0.184	0.0532	2	1.97	1.98	0.082	0.102	0.00977	0
TCGA.78.7158.01A	0.93	0.182	0.147	2	2.07	2.07	0.112	0.0696	0.0107	0
TCGA.78.7159.01A	0.63	0.267	0.127	2	2.03	2.02	0.0801	0.187	0	0
TCGA.78.7160.01A	0.88	0.0325	0.0435	2	2	2	0.00282	0.0297	0	0
TCGA.78.7161.01A	0.86	0.513	0.0649	2	1.81	1.84	0.0635	0.449	0.0227	0.00454
TCGA.78.7162.01A	0.25	0.154	0.526	2	2.02	2	0.0652	0.0889	0.0375	0
TCGA.78.7163.01A	0.71	0.571	0.197	2	2.37	2.26	0.384	0.186	0.0214	0.00971
TCGA.78.7166.01A	0.84	0.0722	0.135	2	2.01	2.01	0.0347	0.0375	0	0
TCGA.78.7167.01A	0.94	0.374	0.321	4	4.13	4.12	0.202	0.172	0	0
TCGA.78.7220.01A	0.66	0.67	0.0829	2	1.75	1.84	0.152	0.519	0.0204	0.0259
TCGA.78.7535.01A	0.74	0.601	0.829	4	3.05	3.3	0.0131	0.588	0	0
TCGA.78.7536.01A	0.82	0.703	0.207	4	3.54	3.62	0.176	0.527	0	0
