sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.ED.A4XI.01A	0.18	0.108	0.25	2	2	2	0.0437	0.0644	0.0125	0.00832
TCGA.ED.A5KG.01A	0.08	0.366	0.988	2	2.02	2	0.188	0.178	0.266	0.079
TCGA.ED.A627.01A	0.52	0.0805	0	2	2	2	0.0537	0.0268	0	0
TCGA.ED.A66X.01A	0.24	0.449	0.318	2	2.41	2.1	0.291	0.158	0.0361	0
TCGA.ED.A7PX.01A	0.72	0.484	0.311	4	3.52	3.65	0.117	0.367	0	0
TCGA.ED.A7PY.01A	0.92	0.409	0.202	4	3.92	3.93	0.157	0.252	0	0
TCGA.ED.A7PZ.01A	0.92	0.72	0.235	4	3.95	3.96	0.351	0.368	0	0
TCGA.ED.A7XO.01A	0.25	0.198	0.264	2	1.9	1.97	0.0689	0.13	0.0246	0
TCGA.ED.A7XP.01A	0.79	0.291	0.158	2	2	2	0.11	0.182	0.0188	0
TCGA.ED.A82E.01A	0.86	0.301	0.507	4	3.6	3.66	0.0198	0.281	0	0
TCGA.ED.A8O5.01A	0.87	0.391	0.132	2	1.94	1.95	0.162	0.229	0.0477	0
TCGA.ED.A8O6.01A	0.81	0.593	0.0372	2	2.06	2.05	0.263	0.329	0.00679	0.0034
TCGA.ED.A97K.01A	0.5	0.393	0.141	2	2.06	2.03	0.185	0.207	0	0.0414
TCGA.EP.A12J.01A	0.88	0.18	0.168	2	2.01	2.01	0.0875	0.0926	0.0269	0
TCGA.EP.A26S.01A	0.98	0.165	0.439	4	4.09	4.09	0.104	0.0606	0	0.00433
TCGA.EP.A2KA.01A	0.62	0.45	0.151	2	2.1	2.06	0.248	0.202	0.018	0.018
TCGA.EP.A2KB.01A	0.85	0.445	0.012	2	1.82	1.85	0.129	0.317	0.00537	0
TCGA.EP.A2KC.01A	0.78	0.4	0.12	2	2.06	2.05	0.125	0.274	0.0161	0
TCGA.EP.A3JL.01A	0.54	0.563	0.113	2	2.26	2.14	0.268	0.295	0	0.0169
TCGA.EP.A3RK.01A	0.24	0.0755	0.422	2	2.08	2.02	0.0302	0.0453	0.00671	0
TCGA.ES.A2HS.01A	0.85	0.293	0.117	2	1.9	1.91	0.0655	0.228	0.00298	0
TCGA.ES.A2HT.01A	0.55	0.364	0.0857	2	2.14	2.08	0.133	0.231	0.0121	0
TCGA.FV.A23B.01A	0.87	0.347	0.34	4	3.9	3.91	0.133	0.215	0	0
TCGA.FV.A2QQ.01A	0.58	0.37	0.234	4	3.91	3.95	0.112	0.258	0	0
TCGA.FV.A2QR.01A	0.84	0.347	0.228	2	1.98	1.99	0.149	0.199	0.0355	0
TCGA.FV.A3I0.01A	0.9	0.749	0.284	4	3.83	3.85	0.423	0.325	0	0
TCGA.FV.A3I1.01A	0.67	0.353	0.208	2	1.91	1.94	0.129	0.224	0.0161	0.0412
TCGA.FV.A3R2.01A	0.79	0.461	0.0455	2	2.06	2.05	0.269	0.192	0.021	0
TCGA.FV.A3R3.01A	0.23	0.281	0.11	2	1.94	1.99	0.0799	0.201	0.00907	0
TCGA.FV.A495.01A	0.55	0.42	0.0736	2	1.96	1.98	0.1	0.32	0.0145	0
TCGA.FV.A496.01A	0.97	0.482	0.143	4	3.59	3.61	0.0984	0.384	0	0.00197
TCGA.FV.A4ZP.01A	0.73	0.309	0.25	2	2.14	2.1	0.114	0.195	0.0175	0.00175
TCGA.FV.A4ZQ.01A	0.67	0.489	0.129	2	2.08	2.05	0.142	0.347	0.0122	0
TCGA.G3.A25S.01A	0.85	0.62	0.204	4	3.77	3.81	0.226	0.394	0	0
TCGA.G3.A25T.01A	0.73	0.382	0.0152	2	1.87	1.91	0.0986	0.283	0.00464	0.00116
TCGA.G3.A25U.01A	0.96	0.399	0.284	4	3.97	3.97	0.153	0.246	0	0.00151
TCGA.G3.A25V.01A	0.46	0.252	0	2	1.99	2	0.0676	0.184	0	0
TCGA.G3.A25W.01A	0.24	0.13	0.191	2	2	2	0.0527	0.0776	0.00293	0
TCGA.G3.A25Y.01A	0.73	0.27	0.0877	2	1.86	1.9	0.0552	0.215	0.00631	0.00158
TCGA.G3.A25Z.01A	0.85	0.264	0.1	4	3.86	3.88	0.0435	0.221	0	0
TCGA.G3.A3CG.01A	0.55	0.415	0.0575	2	1.99	2	0.125	0.29	0	0.00919
TCGA.G3.A3CH.01A	0.68	0.135	0.0116	2	1.92	1.95	0.0203	0.114	0.00156	0
TCGA.G3.A3CI.01A	0.87	0.106	0	2	2	2	0.048	0.0583	0	0
TCGA.G3.A3CJ.01A	0.79	0.291	0.0331	2	2.15	2.12	0.22	0.0713	0	0
TCGA.G3.A3CK.01A	0.69	0.449	0	2	2.01	2.01	0.118	0.331	0	0
TCGA.G3.A5SI.01A	0.85	0.498	0.165	2	1.98	1.98	0.256	0.242	0.0513	0
TCGA.G3.A5SM.01A	0.53	0.482	0.0211	2	2.06	2.03	0.26	0.222	0	0
TCGA.G3.A7M5.01A	0.84	0.351	0.35	4	3.76	3.8	0.105	0.246	0	0
TCGA.G3.A7M6.01A	0.72	0.423	0.162	2	2.01	2.01	0.152	0.272	0.0425	0.0259
TCGA.G3.A7M7.01A	0.6	0.447	0.0546	2	2.12	2.07	0.222	0.226	0.00376	0
TCGA.G3.A7M8.01A	0.11	0.228	0.877	2	1.99	2	0.114	0.114	0.133	0.0243
TCGA.G3.A7M9.01A	0.8	0.451	0.555	6	5.46	5.57	0.0535	0.398	0	0
TCGA.G3.AAUZ.01A	0.81	0.378	0.127	2	2.04	2.03	0.206	0.173	0.0204	0
TCGA.G3.AAV0.01A	0.83	0.356	0.0479	2	2.03	2.03	0.186	0.171	0.0171	0
