sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.06.0219.01A	0.63	0.219	0.0084	2	1.8	1.88	0.0147	0.204	0.00184	0
TCGA.06.0221.01A	0.79	0.432	0.0491	2	1.95	1.96	0.18	0.253	0.0135	0.00386
TCGA.06.0221.02A	0.78	0.228	0.11	2	1.93	1.95	0.0849	0.143	0.0154	0
TCGA.06.0237.01A	0.87	0.398	0.119	2	1.93	1.94	0.14	0.258	0.0256	0.0158
TCGA.06.0238.01A	0.82	0.294	0.294	4	3.92	3.93	0.126	0.169	0	0
TCGA.06.0240.01A	0.07	0.299	1	2	1.98	2	0.0991	0.2	0.25	0.0725
TCGA.06.0241.01A	0.88	0.518	0.0425	2	1.93	1.94	0.178	0.34	0.022	0
TCGA.06.0644.01A	0.63	0.455	0.0115	2	2	2	0.215	0.24	0.00347	0
TCGA.06.0645.01A	0.62	0.488	0.0769	2	2.07	2.04	0.259	0.229	0.00791	0
TCGA.06.0646.01A	0.81	0.346	0.00595	2	1.91	1.93	0.146	0.2	0	0
TCGA.06.0648.01A	0.97	0.278	0.207	4	3.95	3.95	0.113	0.165	0	0.0153
TCGA.06.0649.01B	0.59	0.503	0.0667	2	1.83	1.9	0.121	0.382	0.00931	0.00745
TCGA.06.0650.01A	0.18	0.227	0.391	2	1.96	1.99	0.0952	0.131	0.0378	0.0164
TCGA.06.0686.01A	0.86	0.516	0.115	2	2.05	2.04	0.256	0.26	0.00394	0
TCGA.06.0743.01A	0.85	0.338	0.0123	2	2	2	0.16	0.178	0.00207	0
TCGA.06.0744.01A	0.91	0.229	0	2	1.95	1.95	0.0846	0.145	0	0
TCGA.06.0745.01A	0.78	0.401	0.0254	2	1.9	1.92	0.157	0.244	0.0102	0
TCGA.06.0747.01A	0.9	0.519	0.112	2	1.95	1.96	0.195	0.324	0.0116	0.0463
TCGA.06.0749.01A	0.54	0.268	0.279	2	1.92	1.96	0.0956	0.172	0.0153	0.0115
TCGA.06.0750.01A	0.74	0.227	0.0735	2	1.86	1.9	0.0334	0.194	0.015	0
TCGA.06.0875.01A	0.89	0.341	0.0625	4	3.89	3.9	0.128	0.213	0	0
TCGA.06.0876.01A	0.76	0.326	0.109	2	1.99	2	0.162	0.164	0.00746	0
TCGA.06.0877.01A	0.75	0.357	0.00521	2	2.12	2.09	0.242	0.115	0	0
TCGA.06.0878.01A	0.73	0.274	0.042	2	1.88	1.91	0.0864	0.188	0.0096	0
TCGA.06.0879.01A	0.77	0.135	0.0133	2	1.97	1.98	0.056	0.0794	0.00181	0
TCGA.06.0881.01A	0.09	0.0784	0.951	2	2.02	2	0.0421	0.0363	0.0497	0.021
TCGA.06.0882.01A	0.5	0.158	0.386	2	1.91	1.95	0.0228	0.135	0.0304	0.0152
TCGA.06.0939.01A	0.61	0.398	0.0631	2	1.93	1.96	0.127	0.27	0.00579	0
TCGA.06.1084.01A	0.43	0.422	0.359	2	1.94	1.97	0.172	0.25	0.0182	0.0109
TCGA.06.1086.01A	0.95	0.734	0.0887	4	3.31	3.34	0.0434	0.691	0	0
TCGA.06.1087.01A	0.92	0.355	0.28	4	3.71	3.73	0.045	0.31	0	0
TCGA.06.1800.01A	0.83	0.229	0.322	4	3.92	3.93	0.0795	0.149	0	0
TCGA.06.1801.01A	0.74	0.343	0.0173	2	1.91	1.93	0.111	0.232	0.00595	0
