sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.NC.A5HI.01A	0.58	0.742	0.0928	2	1.82	1.89	0.268	0.474	0.0153	0.0325
TCGA.NC.A5HJ.01A	0.18	0.448	0.475	2	1.89	1.98	0.176	0.272	0.063	0.0963
TCGA.NC.A5HK.01A	0.59	0.636	0.183	2	2.08	2.05	0.287	0.349	0.00182	0.06
TCGA.NC.A5HL.01A	0.54	0.63	0.0941	2	2.11	2.06	0.244	0.385	0	0.0185
TCGA.NC.A5HM.01A	0.63	0.353	0.311	2	2.28	2.18	0.277	0.0758	0	0.00484
TCGA.NC.A5HN.01A	0.94	0.66	0.333	4	3.87	3.88	0.203	0.457	0	0.0276
TCGA.NC.A5HO.01A	0.58	0.727	0.0842	2	1.63	1.79	0.122	0.604	0.0306	0.00765
TCGA.NC.A5HP.01A	0.66	0.681	0.108	2	1.88	1.92	0.25	0.431	0.00734	0.0239
TCGA.NC.A5HQ.01A	0.58	0.541	0.0883	2	2.01	2.01	0.195	0.346	0	0.0134
TCGA.NC.A5HR.01A	0.68	0.614	0.107	2	1.77	1.85	0.146	0.468	0.00673	0.0253
TCGA.NC.A5HT.01A	0.76	0.557	0.307	2	1.88	1.91	0.13	0.427	0.0663	0.056
TCGA.NK.A5CR.01A	0.77	0.537	0.178	2	1.92	1.94	0.142	0.395	0.0541	0.0162
TCGA.NK.A5CT.01A	0.44	0.257	0.105	2	2.14	2.06	0.156	0.1	0	0.00965
TCGA.NK.A5CX.01A	0.4	0.396	0.28	2	2.16	2.06	0.242	0.153	0	0.0518
TCGA.NK.A5D1.01A	0.91	0.502	0.204	2	1.9	1.91	0.212	0.29	0.0565	0.0141
TCGA.NK.A7XE.01A	0.45	0.74	0.143	2	1.42	1.74	0.134	0.607	0.0315	0.0575
TCGA.O2.A52N.01A	0.58	0.71	0.179	2	2.17	2.1	0.315	0.394	0.00385	0.0635
TCGA.O2.A52Q.01A	0.63	0.533	0.105	2	1.82	1.89	0.11	0.423	0.0186	0.0261
TCGA.O2.A52S.01A	0.62	0.631	0.185	2	1.67	1.8	0.128	0.502	0.0876	0
TCGA.O2.A52V.01A	0.21	0.283	0.274	2	2.08	2.02	0.124	0.159	0.0397	0.00345
TCGA.O2.A52W.01A	0.34	0.407	0.283	2	2.67	2.23	0.348	0.0593	0	0
TCGA.O2.A5IB.01A	0.91	0.565	0.0811	2	1.87	1.88	0.2	0.365	0.0221	0
TCGA.O2.A5IC.01A	0.16	0.4	0.485	2	1.87	1.98	0.119	0.281	0.102	0.0612
TCGA.XC.AA0X.01A	0.23	0.483	0.262	2	1.94	1.99	0.137	0.345	0.0506	0.0217
