sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.G4.6323.01A	0.5	0.22	0.168	2	2.01	2.01	0.0899	0.131	0	0
TCGA.G4.6586.01A	0.67	0.151	0.115	2	2.02	2.01	0.0716	0.0793	0.00967	0.00774
TCGA.G4.6588.01A	0.82	0.3	0	2	2	2	0.154	0.146	0	0
TCGA.G4.6625.01A	0.38	0.483	0.087	2	1.99	2	0.204	0.279	0.00573	0.00573
TCGA.G4.6626.01A	0.72	0.645	0.374	4	3.79	3.85	0.213	0.433	0	0
TCGA.G4.6627.01A	0.17	0.201	0.35	2	1.94	1.99	0.0547	0.146	0.041	0.00586
TCGA.G4.6628.01A	0.99	0.231	0	2	2	2	0.0278	0.204	0	0
TCGA.NH.A50T.01A	0.83	0.55	0.236	4	4.19	4.16	0.28	0.27	0	0
TCGA.NH.A50U.01A	0.87	0.693	0.085	4	3.22	3.32	0.0208	0.672	0	0
TCGA.NH.A50V.01A	0.52	0.492	0.0616	2	1.84	1.92	0.176	0.316	0	0.0303
TCGA.NH.A5IV.01A	0.72	0.657	0.0252	4	3.97	3.98	0.274	0.383	0	0
TCGA.NH.A6GA.01A	0.87	0.418	0.519	4	3.65	3.69	0.0922	0.326	0	0
TCGA.NH.A6GB.01A	0.71	0.36	0.144	2	2.22	2.16	0.247	0.113	0.0148	0
TCGA.NH.A6GC.01A	0.91	0.691	0.139	4	3.36	3.41	0.129	0.562	0	0
TCGA.NH.A8F7.01A	0.96	0.377	0.11	2	1.91	1.91	0.0502	0.327	0.0387	0
TCGA.NH.A8F7.06A	0.98	0.444	0.135	2	1.88	1.89	0.098	0.346	0.0424	0
TCGA.NH.A8F8.01A	0.73	0.391	0.303	4	3.7	3.78	0.115	0.276	0	0
TCGA.QG.A5YV.01A	0.72	0.488	0.22	4	4.13	4.09	0.281	0.207	0	0
TCGA.QG.A5YW.01A	0.55	0.586	0.318	4	3.9	3.95	0.237	0.349	0	0
TCGA.QG.A5YX.01A	0.91	0.615	0.0653	2	2.14	2.13	0.387	0.228	0.0146	0
TCGA.QG.A5Z1.01A	0.8	0.5	0.0453	2	2.05	2.04	0.286	0.214	0.00485	0.00485
TCGA.QG.A5Z2.01A	0.71	0.474	0	2	2	2	0.252	0.222	0	0
TCGA.QL.A97D.01A	0.78	0.613	0.186	4	3.67	3.74	0.105	0.508	0	0
TCGA.RU.A8FL.01A	0.85	0.681	0.228	4	3.49	3.57	0.146	0.535	0	0
TCGA.SS.A7HO.01A	0.91	0.366	0.302	4	3.89	3.9	0.118	0.248	0	0
TCGA.T9.A92H.01A	0.82	0.249	0.0523	2	1.98	1.99	0.114	0.135	0	0
TCGA.WS.AB45.01A	0.25	0.186	0.514	2	2.04	2.01	0.0732	0.113	0.00348	0.0331
