sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.EL.A3ZQ.01A	0.99	0.0414	0	2	2	2	0.00517	0.0362	0	0
TCGA.EL.A3ZR.01A	0.99	0.433	0	2	1.97	1.97	0.0683	0.364	0	0
TCGA.EL.A3ZS.01A	0.99	0.0665	0	2	2	2	0.028	0.0385	0	0
TCGA.EL.A3ZT.01A	0.12	0.105	0.75	2	1.97	2	0.034	0.0711	0.051	0.0124
TCGA.EL.A4JV.01A	0.12	0.366	0.793	2	1.96	1.99	0.173	0.194	0.201	0.0436
TCGA.EL.A4JW.01A	0.67	0.016	0	2	2	2	0	0.016	0	0
TCGA.EL.A4JX.01A	0.77	0.406	0	2	2	2	0.181	0.225	0	0
TCGA.EL.A4JZ.01A	0.63	0.381	0.0149	2	1.98	1.99	0.178	0.203	0.00568	0
TCGA.EL.A4K0.01A	0.79	0.306	0	2	2	2	0.146	0.159	0	0
TCGA.EL.A4K1.01A	0.74	0.145	0	2	2	2	0.0923	0.053	0	0
TCGA.EL.A4K2.01A	0.68	0.482	0	2	1.99	1.99	0.232	0.25	0	0
TCGA.EL.A4K4.01A	0.66	0.284	0	2	1.99	2	0.105	0.179	0	0
TCGA.EL.A4K6.01A	0.2	0.328	0.199	2	1.68	1.94	0.107	0.222	0.0275	0.00687
TCGA.EL.A4K7.01A	0.99	0.0341	0	2	2	2	0.00813	0.026	0	0
TCGA.EL.A4K9.01A	0.64	0.401	0.00426	2	1.98	1.99	0.102	0.299	0.00171	0
TCGA.EL.A4KD.01A	0.66	0.402	0	2	2	2	0.167	0.235	0	0
TCGA.EL.A4KG.01A	0.1	0.338	0.907	2	2.01	2	0.193	0.145	0.201	0.0495
TCGA.EL.A4KH.01A	0.64	0.457	0	2	2	2	0.226	0.23	0	0
TCGA.EL.A4KI.01A	0.87	0.591	0.102	6	5.58	5.64	0.081	0.51	0	0
TCGA.EM.A1CS.01A	0.72	0.435	0.00389	2	1.98	1.99	0.173	0.262	0.00169	0
TCGA.EM.A1CT.01A	0.12	0.0222	0.75	2	2	2	0.0222	0	0.00556	0.0037
TCGA.EM.A1CU.01A	0.74	0.345	0	2	2	2	0.2	0.146	0	0
TCGA.EM.A1CV.01A	0.87	0.391	0	2	1.99	1.99	0.132	0.259	0	0
TCGA.EM.A1CW.01A	0.99	0.0764	0	2	2	2	0.0306	0.0458	0	0
TCGA.EM.A1YA.01A	0.64	0.243	0	2	2	2	0.0956	0.147	0	0
TCGA.EM.A1YB.01A	0.92	0.126	0.00885	2	1.96	1.96	0.0324	0.0938	0.00112	0
TCGA.EM.A1YC.01A	0.27	0.685	0.0341	2	0.501	1.6	0.0036	0.682	0.0198	0.0036
TCGA.EM.A1YD.01A	0.99	0.434	0	2	2.15	2.14	0.351	0.0823	0	0
TCGA.EM.A1YE.01A	0.82	0.124	0.123	2	1.94	1.95	0.00338	0.12	0.0152	0
TCGA.EM.A22I.01A	0.11	0.17	0.759	2	2.02	2	0.101	0.0682	0.0741	0.0136
TCGA.EM.A22J.01A	0.67	0.544	0	2	2	2	0.287	0.256	0	0
TCGA.EM.A22K.01A	0.94	0.0205	0.385	2	1.99	1.99	0	0.0205	0.0079	0
TCGA.EM.A22L.01A	0.74	0.573	0.00328	2	1.98	1.99	0.301	0.273	0.00188	0
TCGA.EM.A22M.01A	0.27	0.414	0.0289	2	2.06	2.02	0.342	0.0718	0.00171	0
TCGA.EM.A22N.01A	0.23	0.236	0.122	2	1.6	1.91	0.00161	0.234	0.0289	0
TCGA.EM.A22O.01A	0.13	0.509	0.626	2	1.88	1.98	0.209	0.3	0.174	0.0722
TCGA.EM.A22P.01A	0.19	0.128	0.221	2	1.99	2	0.0714	0.0564	0.015	0.00188
TCGA.EM.A2CJ.01A	0.85	0.385	0.0203	2	1.99	1.99	0.223	0.162	0.00781	0
TCGA.EM.A2CK.01A	0.15	0.0463	0.36	2	1.99	2	0.00741	0.0389	0.00185	0.00741
TCGA.EM.A2CL.01A	0.12	0.0477	0.769	2	1.98	2	0.00367	0.044	0.0275	0
TCGA.EM.A2CM.01A	0.81	0.329	0.00524	2	2	2	0.191	0.138	0.00172	0
TCGA.EM.A2CN.01A	0.13	0.132	0.793	2	2	2	0.0616	0.0702	0.063	0.0129
TCGA.EM.A2CO.01A	0.14	0.519	0.478	2	1.9	1.99	0.239	0.28	0.157	0.0227
TCGA.EM.A2CP.01A	0.51	0.0245	0	2	2	2	0.00701	0.0175	0	0
TCGA.EM.A2CQ.01A	0.68	0.0202	0	2	2	2	0	0.0202	0	0
TCGA.EM.A2CS.01A	0.96	0.066	0	2	2	2	0.028	0.038	0	0
TCGA.EM.A2CS.06A	0.93	0.02	0.1	2	2	2	0.002	0.018	0	0.002
TCGA.EM.A2CT.01A	0.9	0.343	0	2	2	2	0.151	0.192	0	0
TCGA.EM.A2OV.01A	0.45	0.0196	0	2	2	2	0.0196	0	0	0
TCGA.EM.A2OW.01A	0.67	0.439	0	2	2	2	0.189	0.25	0	0
TCGA.EM.A2OX.01A	0.17	0.0735	0.271	2	1.98	2	0.0291	0.0444	0.00919	0.00459
TCGA.EM.A2OY.01A	0.9	0.398	0	2	1.88	1.89	0.0658	0.332	0	0
TCGA.EM.A2OZ.01A	0.82	0.0819	0	2	2	2	0.0356	0.0463	0	0
TCGA.EM.A2P0.01A	0.55	0.336	0	2	1.99	2	0.112	0.223	0	0
TCGA.EM.A2P1.01A	0.99	0.0185	0.786	2	2	2	0.00529	0.0132	0	0.0146
TCGA.EM.A2P1.06A	0.6	0.128	0	2	1.99	2	0.036	0.092	0	0
TCGA.EM.A2P2.01A	0.87	0.255	0.00699	2	2	2	0.134	0.121	0.00179	0
TCGA.EM.A2P3.01A	0.73	0.311	0	2	2	2	0.177	0.134	0	0
TCGA.EM.A3AI.01A	0.82	0.294	0.193	2	2.14	2.11	0.138	0.155	0	0
TCGA.EM.A3AJ.01A	0.8	0.185	0	2	2	2	0.0923	0.0923	0	0
TCGA.EM.A3AK.01A	0.93	0.176	0	2	2	2	0.0713	0.105	0	0
TCGA.EM.A3AL.01A	0.99	0.00339	0	2	2	2	0	0.00339	0	0
TCGA.EM.A3AN.01A	0.81	0.138	0	2	2	2	0.0528	0.0856	0	0
TCGA.EM.A3AO.01A	0.13	0.168	0.748	2	2	2	0.0863	0.0814	0.07	0.0195
TCGA.EM.A3AP.01A	0.97	0.0329	0.333	2	1.99	1.99	0.00469	0.0282	0	0.011
TCGA.EM.A3AQ.01A	0.16	0.136	0.419	2	2.01	2	0.0752	0.0606	0.00917	0.0147
TCGA.EM.A3AR.01A	0.66	0.00333	0	2	2	2	0	0.00333	0	0
TCGA.EM.A3FJ.01A	0.99	0.139	0	2	2	2	0.0482	0.0912	0	0
TCGA.EM.A3FK.01A	0.78	0.569	0	2	2	2	0.234	0.335	0	0
TCGA.EM.A3FL.01A	0.85	0.344	0	2	2	2	0.172	0.172	0	0
TCGA.EM.A3FM.01A	0.99	0.147	0	2	2	2	0.0558	0.0911	0	0
TCGA.EM.A3FN.01A	0.21	0.076	0.111	2	1.93	1.99	0.00507	0.0709	0.00507	0
TCGA.EM.A3FO.01A	0.29	0.042	0.167	2	1.99	2	0.0192	0.0227	0.00699	0
TCGA.EM.A3FP.01A	0.63	0.121	0.0164	2	1.99	2	0.0537	0.0676	0.00199	0
TCGA.EM.A3FQ.01A	0.05	0.0152	1	2	2	2	0	0.0152	0.0114	0.0114
TCGA.EM.A3FQ.06A	0.93	0.144	0	2	1.99	2	0.0284	0.116	0	0
TCGA.EM.A3FR.01A	0.72	0.338	0	2	2	2	0.202	0.137	0	0
TCGA.EM.A3O3.01A	0.65	0.145	0.215	2	2.03	2.02	0.0642	0.0807	0.00734	0
TCGA.EM.A3O6.01A	0.69	0.12	0.0149	2	1.99	1.99	0.0627	0.0573	0.00179	0
TCGA.EM.A3O7.01A	0.12	0.00437	0.333	2	2	2	0	0.00437	0	0.00146
TCGA.EM.A3O8.01A	0.91	0.0128	0	2	2	2	0	0.0128	0	0
TCGA.EM.A3O9.01A	0.13	0.526	0.664	2	2.13	2.02	0.412	0.115	0.0526	0.286
TCGA.EM.A3OA.01A	0.17	0.0297	0.375	2	2	2	0.00371	0.026	0	0.00557
TCGA.EM.A3OB.01A	0.86	0.339	0	2	2.02	2.02	0.217	0.122	0	0
TCGA.EM.A3ST.01A	0.98	0.213	0	2	2	2	0.0787	0.135	0	0
TCGA.EM.A3SU.01A	0.52	0.133	0	2	2	2	0.0463	0.0871	0	0
TCGA.EM.A3SU.06A	0.48	0.143	0.105	2	2	2	0.0628	0.0805	0	0.015
TCGA.EM.A3SX.01A	0.64	0.341	0.0258	2	1.98	1.99	0.156	0.185	0.00879	0
TCGA.EM.A3SY.01A	0.78	0.429	0.442	4	3.55	3.65	0.0571	0.372	0	0
TCGA.EM.A3SZ.01A	0.78	0.207	0	2	2	2	0.0842	0.123	0	0
TCGA.EM.A4FF.01A	0.71	0.0384	0	2	2	2	0.00922	0.0292	0	0
TCGA.EM.A4FH.01A	0.99	0.0126	0	2	2	2	0	0.0126	0	0
TCGA.EM.A4FK.01A	0.99	0.0167	0	2	2	2	0	0.0167	0	0
TCGA.EM.A4FM.01A	0.61	0.36	0	2	2	2	0.176	0.184	0	0
TCGA.EM.A4FN.01A	0.35	0.395	0	2	1.96	1.99	0.0119	0.383	0	0
TCGA.EM.A4FO.01A	0.74	0.411	0	2	1.99	1.99	0.197	0.214	0	0
TCGA.EM.A4FQ.01A	0.77	0.53	0	2	2	2	0.238	0.292	0	0
TCGA.EM.A4FR.01A	0.81	0.458	0.0207	2	1.98	1.99	0.216	0.242	0.00947	0
TCGA.EM.A4FU.01A	0.73	0.478	0.0115	2	1.98	1.99	0.24	0.238	0.00549	0
TCGA.EM.A4FV.01A	0.99	0.147	0	2	2	2	0.0436	0.104	0	0
TCGA.EM.A4G1.01A	0.99	0.559	0	2	1.99	1.99	0.239	0.32	0	0
TCGA.ET.A25G.01A	0.99	0.143	0	2	2	2	0.0679	0.0755	0	0
TCGA.ET.A25I.01A	0.67	0.13	0	2	2	2	0.0806	0.0495	0	0
TCGA.ET.A25J.01A	0.8	0.125	0	2	2	2	0.0675	0.0575	0	0
TCGA.ET.A25K.01A	0.12	0.0126	0.75	2	1.99	2	0	0.0126	0.00314	0.00314
TCGA.ET.A25L.01A	0.78	0.497	0.0105	2	1.98	1.98	0.22	0.277	0.00519	0
TCGA.ET.A25M.01A	0.58	0.336	0	2	1.99	1.99	0.132	0.203	0	0
TCGA.ET.A25N.01A	0.05	0	NaN	2	2.01	2	0	0	0	0
TCGA.ET.A25O.01A	0.86	0.413	0	2	1.99	1.99	0.169	0.244	0	0
TCGA.ET.A25P.01A	0.56	0.388	0.0377	2	2.03	2.02	0.189	0.2	0	0
TCGA.ET.A25R.01A	0.99	0.00295	0.5	2	2	2	0	0.00295	0	0.00147
TCGA.ET.A2MX.01A	0.55	0.0041	0	2	2	2	0	0.0041	0	0
TCGA.ET.A2MY.01A	0.68	0.309	0	2	2	2	0.139	0.17	0	0
TCGA.ET.A2MZ.01A	0.08	0.262	0.994	2	1.98	2	0.12	0.142	0.216	0.0314
TCGA.ET.A2N0.01A	0.52	0.00916	0.167	2	2	2	0.00305	0.00611	0	0.00153
TCGA.ET.A2N1.01A	0.66	0.0452	0	2	2	2	0.0166	0.0287	0	0
TCGA.ET.A2N3.01B	0.18	0.00818	0.6	2	2	2	0	0.00818	0.00327	0.00164
TCGA.ET.A2N4.01A	0.83	0.178	0.0891	2	1.97	1.97	0.0757	0.102	0.0158	0
TCGA.ET.A2N5.01A	0.96	0.0849	0	2	2	2	0.0314	0.0535	0	0
TCGA.ET.A39I.01A	0.88	0.237	0	2	2	2	0.118	0.12	0	0
TCGA.ET.A39J.01A	0.76	0.489	0	2	2	2	0.237	0.252	0	0
TCGA.ET.A39K.01A	0.91	0.334	0	2	2	2	0.161	0.173	0	0
TCGA.ET.A39L.01A	0.72	0.375	0	2	2	2	0.184	0.191	0	0
TCGA.ET.A39M.01A	0.82	0.525	0	2	1.99	1.99	0.226	0.299	0	0
TCGA.ET.A39N.01A	0.17	0.553	0.394	2	2.21	2.04	0.257	0.296	0.0535	0.0428
TCGA.ET.A39O.01A	0.69	0.464	0	2	2	2	0.251	0.213	0	0
TCGA.ET.A39P.01A	0.18	0.158	0.577	2	2.18	2.03	0.112	0.0455	0.0197	0.00909
TCGA.ET.A39R.01A	0.99	0.138	0	2	2	2	0.0523	0.0856	0	0
TCGA.ET.A39S.01A	0.8	0.191	0	2	2	2	0.0962	0.0943	0	0
TCGA.ET.A39T.01A	0.77	0.17	0	2	2	2	0.0895	0.08	0	0
TCGA.ET.A3BN.01A	0.86	0.121	0	2	2	2	0.0607	0.0607	0	0
TCGA.ET.A3BO.01A	0.99	0.0133	0	2	2	2	0	0.0133	0	0
TCGA.ET.A3BP.01A	0.77	0.171	0.099	2	1.95	1.96	0.0863	0.0846	0.0169	0
TCGA.ET.A3BQ.01B	0.86	0.198	0	2	2	2	0.0863	0.112	0	0
TCGA.ET.A3BS.01A	0.78	0.0984	0	2	2	2	0.0328	0.0656	0	0
TCGA.ET.A3BT.01A	0.23	0.145	0.205	2	2.03	2.01	0.0761	0.0686	0.0204	0
TCGA.ET.A3BU.01A	0.99	0.119	0	2	2	2	0.0426	0.0762	0	0
TCGA.ET.A3BV.01A	0.12	0.258	0.814	2	1.96	2	0.109	0.149	0.157	0.0221
TCGA.ET.A3BW.01A	0.47	0.00529	0	2	2	2	0	0.00529	0	0
TCGA.ET.A3BX.01A	0.53	0.00142	0	2	2	2	0	0.00142	0	0
TCGA.ET.A3DO.01A	0.1	0.225	0.893	2	2.01	2	0.126	0.0998	0.114	0.0465
TCGA.ET.A3DP.01A	0.12	0.151	0.656	2	2.01	2	0.0779	0.0731	0.0519	0.0227
TCGA.ET.A3DQ.01A	0.23	0.0436	0.25	2	1.99	2	0.00623	0.0374	0.00467	0
TCGA.ET.A3DR.01A	0.68	0.417	0	2	2	2	0.195	0.223	0	0
TCGA.ET.A3DS.01A	0.82	0.182	0.0099	2	2	2	0.0939	0.0884	0.00181	0
TCGA.ET.A3DT.01A	0.07	0.0104	1	2	2	2	0	0.0104	0.00691	0.00345
