sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.CR.7402.01A	0.66	0.417	0.209	2	1.99	1.99	0.154	0.263	0	0.0159
TCGA.CR.7404.01A	0.22	0.506	0.214	2	2.19	2.04	0.309	0.196	0.0344	0
TCGA.CV.5430.01A	0.69	0.529	0.186	2	1.89	1.93	0.121	0.408	0.0266	0.0116
TCGA.CV.5431.01A	0.95	0.181	0.532	4	4.28	4.26	0.162	0.0198	0	0
TCGA.CV.5432.01A	0.66	0.87	0.444	4	4.58	4.39	0.507	0.363	0	0
TCGA.CV.5434.01A	0.7	0.606	0.51	4	3.45	3.62	0.13	0.476	0	0
TCGA.CV.5435.01A	0.77	0.613	0.266	4	3.87	3.9	0.296	0.317	0	0
TCGA.CV.5436.01A	0.76	0.371	0.431	4	3.94	3.95	0.115	0.256	0	0
TCGA.CV.5439.01A	0.58	0.654	0.363	4	3.81	3.89	0.217	0.437	0	0
TCGA.CV.5440.01A	0.81	0.613	0.491	4	3.55	3.63	0.158	0.455	0	0
TCGA.CV.5441.01A	0.74	0.201	0.298	2	2.07	2.05	0.141	0.06	0	0.0387
TCGA.CV.5442.01A	0.88	0.616	0.856	4	4.73	4.64	0.453	0.163	0	0
TCGA.CV.5443.01A	0.57	0.115	0.136	2	1.9	1.94	0.00871	0.106	0.0139	0
TCGA.CV.5444.01A	0.37	0.468	0.418	4	4	4	0.152	0.316	0	0
TCGA.CV.5966.01A	0.42	0.401	0.473	4	3.78	3.91	0.105	0.296	0.00395	0
TCGA.CV.5970.01A	0.47	0.757	0.622	4	4.21	4.1	0.347	0.41	0	0
TCGA.CV.5971.01A	0.8	0.382	0	2	2	2	0.199	0.183	0	0
TCGA.CV.5973.01A	0.81	0.481	0.174	4	3.62	3.7	0.0635	0.417	0	0
TCGA.CV.5976.01A	0.51	0.345	0.287	2	1.88	1.94	0.0782	0.267	0.0573	0.00954
TCGA.CV.5977.01A	0.76	0.527	0.132	2	2.13	2.1	0.259	0.269	0.0068	0.0085
TCGA.CV.5978.01A	0.65	0.226	0.0963	2	2.05	2.03	0.125	0.1	0	0
TCGA.CV.5979.01A	0.92	0.299	0.179	2	1.9	1.9	0.0722	0.227	0.0433	0
TCGA.CV.6003.01A	0.66	0.699	0.462	4	3.83	3.89	0.268	0.431	0	0
TCGA.CV.6433.01A	0.7	0.305	0.044	2	2.14	2.1	0.215	0.09	0.0115	0
TCGA.CV.6436.01A	0.39	0.243	0.063	2	2.03	2.01	0.105	0.138	0	0
TCGA.CV.6441.01A	0.83	0.409	0.154	2	1.86	1.89	0.107	0.302	0.0492	0.0102
TCGA.CV.6933.01A	0.62	0.415	0.623	4	3.59	3.74	0.0556	0.359	0	0
TCGA.CV.6934.01A	0.52	0.284	0.0585	2	2.02	2.01	0.127	0.157	0	0.00831
TCGA.CV.6935.01A	0.76	0.547	0.00358	2	1.78	1.83	0.149	0.398	0	0
TCGA.CV.6936.01A	0.61	0.413	0.271	2	2.09	2.06	0.161	0.252	0.0568	0.0208
TCGA.CV.6937.01A	0.37	0.367	0.172	2	2.12	2.05	0.121	0.246	0	0.0144
TCGA.CV.6938.01A	0.16	0.0451	0.536	2	1.99	2	0.00322	0.0419	0.00805	0.00805
TCGA.CV.6939.01A	0.44	0.297	0.435	2	1.95	1.98	0.106	0.191	0.0539	0.0694
TCGA.CV.6940.01A	0.74	0.715	0.406	4	3.62	3.72	0.14	0.575	0	0
TCGA.CV.6941.01A	0.68	0.492	0.262	4	3.78	3.85	0.156	0.336	0	0
TCGA.CV.6942.01A	0.29	0.525	0.172	2	2.18	2.05	0.411	0.114	0.0347	0.00347
TCGA.CV.6943.01A	0.16	0.0761	0.643	2	1.99	2	0.0254	0.0507	0.0127	0.0326
TCGA.CV.6945.01A	0.57	0.556	0.557	4	3.34	3.63	0.0504	0.506	0	0
TCGA.CV.6948.01A	0.82	0.447	0.0933	2	1.78	1.82	0.0918	0.356	0.0167	0
TCGA.CV.6950.01A	0.63	0.416	0.369	4	3.81	3.88	0.109	0.307	0	0
TCGA.CV.6951.01A	0.75	0.379	0.335	4	3.93	3.95	0.1	0.279	0	0
TCGA.CV.6952.01A	0.55	0.313	0.0497	2	1.98	1.99	0.121	0.192	0	0.0156
TCGA.CV.6953.01A	0.4	0.716	0.0761	2	1.88	1.95	0.123	0.593	0.0323	0.0181
TCGA.CV.6954.01A	0.58	0.814	0.5	4	3.75	3.86	0.135	0.679	0	0
TCGA.CV.6955.01A	0.41	0.233	0.0439	2	2	2	0.125	0.108	0	0.0102
